Date,Username,Name,Before Price,After Price,Link
19-11-2024 15:40:54,wow.sum_er,Yamaha Exciter 155 | Y16 | Sniper | Ori Reg. Aug2023,"13,888","13,000",https://www.carousell.sg/p/yamaha-exciter-155-y16-sniper-ori-reg-aug2023-1332672584/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=14
19-11-2024 15:40:54,bikechoice,$388 Rideaway! Yamaha Y16!,Not Slashed,388,https://www.carousell.sg/p/388-rideaway-yamaha-y16-1325530340/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=15
19-11-2024 15:40:54,Mehhhhh,Selling Spec 63 ONLY for Y16/MT15/R15/XSR,650,450,https://www.carousell.sg/p/selling-spec-63-only-for-y16-mt15-r15-xsr-1312459549/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=16
19-11-2024 15:40:54,Mehhhhh,Yamaha Y16,"14,000","12,000",https://www.carousell.sg/p/yamaha-y16-1291231150/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=17
19-11-2024 21:42:44,bikeprod,"YAMAHA SNIPER T155, Y16 (ABS MODEL!!!)",Not Slashed,"14,000",https://www.carousell.sg/p/yamaha-sniper-t155-y16-abs-model-1303313543/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=mQQAFyCWIq0CQpT-&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=0
19-11-2024 21:42:44,bikechoice.wcega,YAMAHA SNIPER T150 | Y16 | Y15 | SNIPER 155 | EXCITER 155 | SNIPER 150 V2,Not Slashed,"8,800",https://www.carousell.sg/p/yamaha-sniper-t150-y16-y15-sniper-155-exciter-155-sniper-150-v2-1317978869/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=mQQAFyCWIq0CQpT-&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=1
19-11-2024 21:42:44,akuma_jigoku_no,Yamaha y16 sniper v3 y16zr,Not Slashed,"13,888",https://www.carousell.sg/p/yamaha-y16-sniper-v3-y16zr-1325228546/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=mQQAFyCWIq0CQpT-&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=2
19-11-2024 21:42:44,ministryofbikez,Y16,Not Slashed,"1,500",https://www.carousell.sg/p/y16-1326748475/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=mQQAFyCWIq0CQpT-&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=3
19-11-2024 21:42:44,bikechoice.wcega,YAMAHA SNIPER T150 | Y16 | Y15 | SNIPER 155 | EXCITER 155 | SNIPER 150 V1,"7,800","6,800",https://www.carousell.sg/p/yamaha-sniper-t150-y16-y15-sniper-155-exciter-155-sniper-150-v1-1299336237/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=mQQAFyCWIq0CQpT-&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=5
19-11-2024 21:42:44,dblackpanthaaa,Y16 trade,Not Slashed,0,https://www.carousell.sg/p/y16-trade-1324407961/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=mQQAFyCWIq0CQpT-&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=6
