Date,Username,Name,Before Price,After Price,Link
19-11-2024 15:40:54,koolsagittarius,Suzuki Burgman 200 cc for Sale (low mileage),"4,500","4,200",https://www.carousell.sg/p/suzuki-burgman-200-cc-for-sale-low-mileage-1330354276/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=0
19-11-2024 15:40:54,geoggv,Suzuki Burgman 200,Not Slashed,"4,200",https://www.carousell.sg/p/suzuki-burgman-200-1334181700/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=1
19-11-2024 15:40:54,wunubu88,Suzuki Burgman 200,Not Slashed,"4,500",https://www.carousell.sg/p/suzuki-burgman-200-1336855349/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=2
19-11-2024 15:40:54,lee_cornice,Burgman 200 box bracket,Not Slashed,50,https://www.carousell.sg/p/burgman-200-box-bracket-1336297275/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=3
19-11-2024 15:40:54,onn99,Burgman 200 ( Used ),Not Slashed,"12,800",https://www.carousell.sg/p/burgman-200-used-1336236419/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=5
19-11-2024 15:40:54,hotgearzsg,SUZUKI BURGMAN 200,Not Slashed,"1,900",https://www.carousell.sg/p/suzuki-burgman-200-1336207188/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=6
19-11-2024 15:40:54,unknown_7855,SUZUKI / UH200AL6 BURGMAN 200 ABS (CLASS 2B) COE DEC 2026,Not Slashed,"5,000",https://www.carousell.sg/p/suzuki-uh200al6-burgman-200-abs-class-2b-coe-dec-2026-1336136381/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=7
19-11-2024 15:40:54,suhairi5n10,Suzuki Burgman,Not Slashed,"2,800",https://www.carousell.sg/p/suzuki-burgman-1334422850/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=8
19-11-2024 15:40:54,oddtrinkets,Suzuki Burgman 200 Low Mileage COE 8/9/26,"4,350","4,000",https://www.carousell.sg/p/suzuki-burgman-200-low-mileage-coe-8-9-26-1330381502/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=9
19-11-2024 15:40:54,griso,Suzuki Burgman 200,Not Slashed,"4,600",https://www.carousell.sg/p/suzuki-burgman-200-1335381219/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=10
19-11-2024 15:40:54,motorkia,Suzuki Burgman 200,Not Slashed,"5,800",https://www.carousell.sg/p/suzuki-burgman-200-1324643335/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=11
19-11-2024 15:40:54,dexingmotor,Burgman 200  $12.5k2015 coe 2034 D/P $500,"13,500","12,500",https://www.carousell.sg/p/burgman-200-12-5k2015-coe-2034-d-p-500-1317061983/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=13
19-11-2024 15:40:54,imonbluealert,Suzuki Burgman 200,"4,900","4,400",https://www.carousell.sg/p/suzuki-burgman-200-1334871910/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=14
19-11-2024 15:40:54,ride_culture,Honda PCX 150 Keyless New Model | Super Low Mileage | 1 Owner | Not Aerox Nmax ADV ADV150 Burgman,"8,500","8,000",https://www.carousell.sg/p/honda-pcx-150-keyless-new-model-super-low-mileage-1-owner-not-aerox-nmax-adv-adv150-burgman-1302816726/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=15
19-11-2024 15:40:54,teamthunder,Suzuki UH200AL5 BURGMAN 200 ABS Maxi Scooter,Not Slashed,"4,000",https://www.carousell.sg/p/suzuki-uh200al5-burgman-200-abs-maxi-scooter-1323855379/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=16
19-11-2024 15:40:54,worthyyyourmoney,Burgman 200 Suzuki,"5,000","4,500",https://www.carousell.sg/p/burgman-200-suzuki-1323672573/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=17
19-11-2024 15:40:54,2ndhanditemsforsalenow,Burgman 200 2017 September,Not Slashed,"8,000",https://www.carousell.sg/p/burgman-200-2017-september-1333971760/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=_qju4tTtLdyecI6_&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=18
